"PolicyName","PolicyId","State","IncludedUsers","ExcludedUsers","IncludedGroups","ExcludedGroups","IncludedRoles","ExcludedRoles","IncludeGuestsOrExternalUsers","ExcludeGuestsOrExternalUsers","UserRiskLevels","SignInRiskLevels","InsiderRiskLevels","IncludeLocations","ExcludeLocations","ClientAppTypes","AuthFlowTransferMethods","GrantOperator","GrantBuiltInControls","GrantTermsOfUse","GrantCustomAuthFactors","SessionControls","SignInFrequency"
"Microsoft-managed: Multifactor authentication for admins accessing Microsoft Admin Portals","7c8845b7-222d-41a2-bbf3-55caaee89f1f","enabledForReportingButNotEnforced","","","","","62e90394-69f5-4237-9190-012177145e10;194ae4cb-b126-40b2-bd5b-6091b380977d;f28a1f50-f6e7-4571-818b-6a12f2af6b6c;29232cdf-9323-42fd-ade2-1d097af3e4de;b1be1c3e-b65d-4f19-8427-f6fa0d97feb9;729827e3-9c14-49f7-bb1b-9608f156bbb8;b0f54661-2d74-4c50-afa3-1ec803f12efe;fe930be7-5e62-47db-91af-98c3a49a38b1;c4e39bd9-1100-46d3-8c65-fb160da0071f;9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3;158c047a-c907-4556-b7ef-446551a6b5f7;966707d0-3269-4727-9be2-8c3a10f19b9d;7be44c8a-adaf-4e2a-84d6-ab2649e08a13;e8611ab8-c189-46e8-94e1-60213ab1f814","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Require multifactor authentication for all users","91f89f16-43cf-455e-8daf-7b461ac17ac8","enabled","All","aefc50c5-a5ce-4f9e-8ff1-5bce9965b087;7088cdc9-189f-4894-a492-9f6a9114e650;5df159eb-079f-4bb7-b6a0-be450eb32112","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"004 - User Sign-in Risk ","63ae1ccb-c23c-4dcd-8b90-6cba00745c79","enabledForReportingButNotEnforced","All","","","","","62e90394-69f5-4237-9190-012177145e10","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","high;medium","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Try to Block Marty","7800c1f5-f10c-4973-8a99-d7cae2b25d3a","enabled","0cf4497f-6208-4922-a5db-fa498204b5c2","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured","1hours"
"CA200 | PIM | Passwordless Authentication Strength","c5b26859-005b-4934-a47c-32e2553cb24f","enabled","All","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","Not Configured","Not Configured","Not Configured","Configured",""
"CA50: Grant | Select Users | My Apps | Require All: AS04","504c26b4-6643-42f7-b41b-6a2661d10d5a","enabled","42e1bcf8-c9ec-4510-8a6e-d11c9d628d95","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","Not Configured","Not Configured","Not Configured","Configured",""
"Microsoft-managed: Multifactor authentication and reauthentication for risky sign-ins","d7de1e5b-7c62-4c8c-8cfc-58a7480f5d8a","enabled","","","f0d62dd7-cfa2-426d-804c-cdd18123a25e","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","high","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"CA01a: Block | Legacy Authentication | Untrusted Locations","c9e196e7-1071-47fd-972f-5ddcc7ca96f4","disabled","95c735b4-bdcb-4a52-8d3a-2033e95799db;1a88d5b9-8556-48a9-ad1a-2715f8b44342;f778671a-bbe3-4d07-95e2-1e7ba455d4a8;f8e2b423-143d-4a00-88eb-b78868dd3d43;9d0dc4a2-4d98-47d2-b484-0595bbeeba88;7eae876c-c730-4000-9126-f26088d2bcb9;9b0e1f12-253b-43b5-9bfa-339f52210893;f41d4fed-abf3-453c-b23b-537cbca6ea41;08ed22c7-d98f-4add-8163-f06b5ff79fa8;2de3d25b-3128-4d57-b8e2-c935292c46e8","","","676ae15b-a74d-4686-b7a6-781c54d860b1","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"CA01b: Block | Legacy Authentication EXCEPT Service Accounts | Trusted Locations","8c34aa09-740e-4cbe-ae63-8f1a6fe8b6a1","disabled","95c735b4-bdcb-4a52-8d3a-2033e95799db;1a88d5b9-8556-48a9-ad1a-2715f8b44342;f778671a-bbe3-4d07-95e2-1e7ba455d4a8;f8e2b423-143d-4a00-88eb-b78868dd3d43;9d0dc4a2-4d98-47d2-b484-0595bbeeba88;7eae876c-c730-4000-9126-f26088d2bcb9;9b0e1f12-253b-43b5-9bfa-339f52210893;f41d4fed-abf3-453c-b23b-537cbca6ea41;08ed22c7-d98f-4add-8163-f06b5ff79fa8;2de3d25b-3128-4d57-b8e2-c935292c46e8","","","676ae15b-a74d-4686-b7a6-781c54d860b1","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Require multifactor authentication for all users","ac5944c4-99a1-454f-8e90-a401db8866fa","disabled","All","a970851f-1c03-4a66-a3c7-9d3626cb6ea4","","","","d29b2b05-8046-44ba-8758-1e26182fcf32","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
